first_name,male_count,female_count
Brooks,66,0
Brooksie,0,18
Brooxie,0,5
Brother,5,0
Broughton,6,0
Brown,34,0
Brownell,5,0
Brownie,19,28
Bruce,1311,11
Bruna,0,33
Brunetta,0,6
Brunette,0,6
Bruno,261,0
Bryan,116,0
Bryant,89,0
Bryce,87,0
Bryon,11,0
Bryson,9,0
Buck,65,0
Buckley,7,0
Bud,174,0
Budd,21,0
Buddie,42,0
Buddy,177,0
Bueford,7,0
Buel,37,0
Buela,0,5
Buelah,0,41
Buell,32,0
Buena,0,22
Bufford,12,0
Buford,304,0
Bula,0,33
Bulah,0,97
Bular,0,7
Buna,0,18
Bunice,0,8
Bunion,6,0
Bunnie,0,11
Bunny,7,14
Bunyan,6,0
Burch,9,0
Burchard,7,0
Burdell,10,0
Burdella,0,6
Burdett,13,0
Burdette,50,0
Burel,6,0
Buren,24,0
Burgess,23,0
Burgin,5,0
Burke,30,0
Burl,154,5
Burle,5,0
Burleigh,10,0
Burlen,5,0
Burley,38,0
Burlie,6,0
Burlin,14,0
Burlon,6,0
Burma,0,20
Burman,11,0
Burnard,11,0
Burnell,53,18
Burnes,5,0
Burnett,36,5
Burnetta,0,17
Burnette,5,20
Burney,18,0
Burnice,44,56
Burnie,20,5
Burnis,14,5
Burns,20,0
Burr,14,0
Burrel,8,0
Burrell,35,0
Burris,9,0
Burt,65,0
Burtis,12,0
Burton,551,0
Burwell,6,0
Buryl,6,0
Buster,201,0
Butler,23,0
Byard,5,0
Byford,6,0
Bynum,16,0
Byrd,14,0
Byrdie,0,13
Byrl,16,0
Byrne,6,0
Byron,594,0
Caesar,43,0
Cal,32,0
Calbert,12,0
Caldonia,0,14
Caldwell,12,0
Caleb,44,0
Calhoun,10,0
Calista,0,14
Calla,0,12
Callie,16,318
Calven,9,0
Calvert,31,0
Calvin,4919,22
Calvina,0,5
Cam,5,0
Camden,5,0
Camelia,0,9
Camella,0,18
Cameron,53,5
Camiel,9,0
Camile,6,0
Camilla,0,138
Camille,24,176
Camillo,18,0
Camilo,16,0
Cammie,0,20
Campbell,20,0
Canary,0,11
Candace,0,11
Candelaria,0,35
Candelario,25,0
Candida,0,26
Candido,21,0
Candita,0,6
Candy,0,7
Cannie,0,8
Capitola,0,20
Captain,7,0
Captola,0,14
Cara,0,30
Cardell,11,6
Carel,0,5
Carene,0,7
Caretha,0,8
Carey,66,16
Caridad,0,5
Carie,0,11
Carine,0,5
Carita,0,8
Carl,7085,46
Carla,0,36
Carle,9,0
Carlean,0,10
Carlee,10,14
Carleen,0,34
Carlena,0,7
Carlene,0,79
Carles,10,0
Carless,11,0
Carleton,99,0
Carletta,0,16
Carley,11,23
Carlie,25,18
Carlin,14,0
Carline,0,22
Carlis,17,0
Carlisle,29,0
Carlo,150,0
Carlon,8,0
Carlos,452,0
Carlota,0,27
Carlotta,0,31
Carlson,6,0
Carlton,430,0
Carlyle,77,0
